UNIQUE_ID,Test ID,Shot X,Shot Y,Step Pitch X,Step Pitch Y,Map Shift X,Map Shift Y,Coordinate X,Coordinate Y,Wafer X,Wafer Y,Radius
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,3,-7,-1,22583.68,32940,2814.357,0,11153.04,16470,-144118.363,-16470,145056.4147
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,8,-7,-1,22583.68,32940,2814.357,0,7375.92,16470,-147895.483,-16470,148809.7268
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,12,-7,-1,22583.68,32940,2814.357,0,7308.42,9882,-147962.983,-23058,149748.8421
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,14,-7,-1,22583.68,32940,2814.357,0,11291.84,9215.3,-143979.563,-23724.7,145921.1292
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,19,-7,-1,22583.68,32940,2814.357,0,11291.84,2811.7,-143979.563,-30128.3,147098.0252
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,24,-7,-1,22583.68,32940,2814.357,0,11291.84,-5693.5,-143979.563,-38633.5,149072.6732
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,3,-7,0,22583.68,32940,2814.357,0,11153.04,16470,-144118.363,16470,145056.4147
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,4,-7,0,22583.68,32940,2814.357,0,10237.04,-16470,-145034.363,-16470,145966.5282
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,8,-7,0,22583.68,32940,2814.357,0,7375.92,16470,-147895.483,16470,148809.7268
VH075030_PTVB827_3GJPBVH.VH075P_-_2024-05-30 15:39:37_2024-05-30 17:17:40_B3N049.1_11,12,-7,0,22583.68,32940,2814.357,0,7308.42,9882,-147962.983,9882,148292.6103
